type,bodyId,hemilineage,side,nt,sign,from_legs,to_legs,interleg_syn,leg_out_syn,mn_direct_syn,total_out_syn,frac_interleg,contra_syn,ipsi_syn,diag_syn,top_pairs,class
IN11A044,816861,11A,R,acetylcholine,1,rm|lm|rf,rf,70.3,84.0,30.0,94,0.747,0.0,50.4,19.9,rm->rf lm->rf,ipsilateral
IN05B066,805788,05B,L,gaba,-1,lh,lh|lm,70.2,108.0,0.0,631,0.111,4.8,50.0,15.4,lh->lm lh->lf lh->rm,ipsilateral
IN03B046,806752,03B,R,gaba,-1,rh|rm|lm,rh,70.1,144.0,21.0,664,0.106,0.0,46.7,23.4,rm->rh lm->rh,both
IN20A.22A024,803772,20A/22A,L,acetylcholine,1,lh,lh,70.0,565.0,112.0,816,0.086,12.0,58.0,0.0,lh->lm lh->rh,ipsilateral
IN11A020,803792,11A,L,acetylcholine,1,lm|lf|lh,lh|lf|rf,70.0,88.0,0.0,762,0.092,9.8,44.0,16.2,lm->lh lm->lf lf->lh,both
IN00A025,803917,00A,M,gaba,-1,lh,lm|rm,70.0,70.0,0.0,1661,0.042,0.0,42.0,28.0,lh->lm lh->rm,both
INXXX423,804032,XXX (unassigned),R,acetylcholine,1,rh,rh|lh,70.0,141.0,31.0,1296,0.054,65.0,5.0,0.0,rh->lh,contralateral
IN09A064,806475,09A,R,gaba,-1,rm,rm|rh,70.0,297.0,60.0,379,0.185,0.0,70.0,0.0,rm->rh rm->rf,ipsilateral
IN04B102,806938,04B,L,acetylcholine,1,lm,lm,70.0,460.0,109.0,546,0.128,8.0,62.1,0.0,lh->lm lf->lm rm->lm,ipsilateral
IN07B086,807262,07B,R,acetylcholine,1,rm,lh|rm,70.0,83.0,16.0,687,0.102,0.0,11.0,59.0,rm->lh rm->rh,both
IN12B086,808508,12B,R,gaba,-1,lh|rh,lf|lm,70.0,70.0,0.0,350,0.2,0.0,36.8,33.2,lh->lf rh->lf lh->lm,both
IN13A010,809385,13A,L,gaba,-1,lf,lf,70.0,906.0,162.0,943,0.074,19.1,50.0,0.9,lm->lf lf->rf lf->lm,ipsilateral
IN09A043,811547,09A,R,gaba,-1,rm,rh|rm|lh,70.0,91.0,0.0,356,0.197,0.0,55.0,15.0,rm->rh rm->lh,ipsilateral
IN09A042,812396,09A,R,gaba,-1,rh,rh|rm,70.0,227.0,18.0,335,0.209,28.0,42.0,0.0,rh->rm rh->lh,both
IN09A043,905593,09A,R,gaba,-1,rh,rh|rm,70.0,192.0,0.0,465,0.151,0.0,70.0,0.0,rh->rm rh->rf,ipsilateral
IN00A070,905940,00A,M,gaba,-1,lh,rh|lh|lm,70.0,85.0,0.0,309,0.227,49.0,13.0,8.0,lh->rh lh->lm lh->rm,contralateral
IN20A.22A001,800095,20A/22A,L,acetylcholine,1,lh,lh,69.9,1897.0,1307.0,2419,0.029,27.4,41.9,0.6,lm->lh lh->rh lf->lh,both
IN17A092,808036,17A,R,acetylcholine,1,rm|rh,rm|rh,69.9,112.0,0.0,239,0.292,5.2,57.9,6.8,rh->rm rm->rh rf->rm,ipsilateral
IN08A032,903521,08A,R,glutamate,-1,rm,rm,69.9,577.0,172.0,577,0.121,0.0,69.9,0.0,rh->rm,ipsilateral
IN13A019,802873,13A,R,gaba,-1,rm,rm,69.8,793.0,25.0,1031,0.068,0.2,62.8,6.8,rh->rm rm->rh rf->rm,ipsilateral
IN21A057,910169,21A,L,glutamate,-1,lf|rm,lm|rm|lf,69.7,89.0,0.0,135,0.516,17.7,27.3,24.7,lf->lm lf->rm rm->lm,both
IN13B078,805383,13B,R,gaba,-1,lh,lh,69.6,387.0,5.0,387,0.18,5.6,63.6,0.4,lh->lm lm->lh,ipsilateral
IN07B073_a,806003,07B,L,acetylcholine,1,lm,lm,69.6,339.0,75.0,707,0.098,30.3,36.6,2.7,lm->rm lf->lm lm->lh,both
IN05B066,806462,05B,R,gaba,-1,rh,rm|rh,69.6,103.0,0.0,591,0.118,6.7,48.6,14.3,rh->rm rh->lm,both
IN06A081,810888,06A,L,gaba,-1,lh|rh,rh|lf|rm,69.6,84.0,0.0,789,0.088,23.6,25.4,20.6,lh->rh lh->lf rh->lf,both
IN02A034,908504,02A,R,glutamate,-1,rm|rf,rm|rf,69.6,130.0,46.0,247,0.282,0.0,69.6,0.0,rm->rf rf->rm,ipsilateral
IN21A002,911639,21A,L,glutamate,-1,lh,lh,69.6,2020.0,603.0,2075,0.034,6.8,57.8,5.0,lm->lh,ipsilateral
IN20A.22A053,905898,20A/22A,R,acetylcholine,1,rf,rf,69.5,284.0,0.0,415,0.167,28.0,39.5,2.0,rf->lf rf->rm rm->rf,both
IN06B059,806394,06B,L,gaba,-1,lh|lm|rm|rh,lh|rh|rm,69.4,95.0,0.0,879,0.079,23.6,22.9,22.9,lh->rh lm->lh rm->lh,both
IN18B051,910301,18B,L,acetylcholine,1,lf|rm,rm|rh,69.4,88.0,0.0,296,0.235,2.4,23.9,43.2,lf->rm lf->rh rm->rh,both
IN06B063,805083,06B,L,gaba,-1,lh|lm,rh|rm|lh,69.3,79.0,0.0,841,0.082,26.6,9.3,33.4,lh->rh lh->rm lm->rh,both
IN08A050,814395,08A,L,glutamate,-1,lf|rf,lf,69.3,226.0,42.0,272,0.255,69.3,0.0,0.0,rf->lf,contralateral
