s,t,flyvis_syn_per_target,malecns_syn_per_target,strength,sign,ratio
Mi4,TmY18,17.27493667602539,23.329188002926116,0.031487222760915756,-1.0,1.3504644584488101
Mi9,L3,1.0,2.3004115226337447,0.09741440415382385,-1.0,2.3004115226337447
Mi9,Lawf1,9.833333969116211,29.57617728531856,0.1816454380750656,-1.0,3.007746648106245
Mi9,C3,2.319999933242798,1.435960591133005,2.978643806272885e-06,-1.0,0.6189485484708096
Mi9,CT1(M10),2.6458334922790527,2842.5,0.14832709729671478,-1.0,1074.3306441221075
Mi9,Mi1,3.799999952316284,2.2734513274336283,0.04059288650751114,-1.0,0.5982766726214955
Mi9,Mi4,25.083335876464844,20.26410835214447,0.03335560858249664,-1.0,0.8078713474134773
Mi9,Mi10,39.233333587646484,86.17117117117117,0.025754954665899277,-1.0,2.196376481204853
Mi9,Mi15,5.125,11.387665198237885,0.08960599452257156,-1.0,2.221983453314709
Mi9,T2,3.6454544067382812,3.6903669724770642,0.07467606663703918,-1.0,1.0123201556589945
Mi9,T2a,1.0,3.952262864228146,0.07871981710195541,-1.0,3.952262864228146
Mi9,T4a,28.16426658630371,22.275862068965516,0.018051715567708015,-1.0,0.790926403167845
Mi9,T4b,21.861740112304688,25.60248815165877,0.012276608496904373,-1.0,1.1711093453740506
Mi9,T4c,23.698328018188477,24.577377602701183,0.01958210952579975,-1.0,1.0370933166187097
Mi9,T4d,22.15277862548828,22.955451348182883,0.013808759860694408,-1.0,1.03623350082915
Mi9,Tm1,20.791667938232422,14.222473178994917,4.375752541818656e-05,-1.0,0.6840467643695941
Mi9,Tm2,7.769230842590332,11.8078231292517,0.013890672475099564,-1.0,1.51981880426594
Mi9,Tm4,4.206478118896484,10.289584587597833,0.04672865569591522,-1.0,2.446128161555057
Mi9,Tm5a,1.4285715818405151,1.9833887043189369,0.001143108936958015,-1.0,1.388371944067106
Mi9,Tm5b,1.2222222089767456,9.466796875,0.011224810034036636,-1.0,7.745561163485713
Mi9,Tm16,1.125,25.484848484848484,0.05755022168159485,-1.0,22.653198653198654
Mi9,TmY3,23.558334350585938,54.54854368932039,0.0077594611793756485,-1.0,2.3154669119450575
Mi9,TmY4,2.3333334922790527,5.192079207920792,0.07062853127717972,-1.0,2.2251766518164953
Mi9,TmY5a,1.0,5.529456771231828,0.040347494184970856,-1.0,5.529456771231828
Mi9,TmY13,39.083335876464844,140.05324074074073,0.013621213845908642,-1.0,3.5834515555024007
Mi9,TmY18,5.634032726287842,8.426676492262343,0.0007542434032075107,-1.0,1.4956740405401447
Mi10,Lawf1,42.5,139.11080332409972,0.01694515533745289,-1.0,3.273195372331758
Mi10,Mi9,23.149999618530273,9.91022021456804,4.508674464887008e-05,-1.0,0.42808727334213287
Mi10,Mi14,1.6666666269302368,16.076190476190476,0.2376149445772171,-1.0,9.645714515686041
Mi10,T4a,1.2857142686843872,2.9780918727915195,0.13833901286125183,-1.0,2.3162937095182627
Mi10,T4b,1.0,2.0994897959183674,0.10680846124887466,-1.0,2.0994897959183674
Mi10,T4c,1.4285715818405151,2.8286764705882352,0.07800332456827164,-1.0,1.9800733169729445
Mi10,T4d,2.142857074737549,2.8873646209386283,0.0,-1.0,1.3474368659385576
Mi10,Tm5b,1.3333333730697632,6.238317757009346,2.8430866223061457e-05,-1.0,4.678738178319746
Mi10,TmY3,1.0,1.4867724867724867,0.09296409040689468,-1.0,1.4867724867724867
Mi10,TmY5a,1.25,1.6373165618448637,0.0,-1.0,1.309853249475891
Mi10,TmY14,3.3333332538604736,1.9889705882352942,0.0950252115726471,-1.0,0.5966911906968149
Mi12,Mi1,11.115079879760742,,0.0953572615981102,-1.0,
Mi12,Mi9,1.2222222089767456,,0.002014502650126815,-1.0,
Mi12,Tm1,15.545635223388672,,2.6526615329203196e-05,-1.0,
Mi12,Tm2,9.817461013793945,,0.0032263691537082195,-1.0,
Mi12,Tm3,1.2000000476837158,,0.09769441187381744,-1.0,
Mi12,Tm4,6.544445037841797,,0.005460544489324093,-1.0,
